Name,Time in office,Political party
Robert Walpole,1721 – 1742,Whig
Spencer Compton,1742 – 1743,Whig
Henry Pelham,1743 – 1754,Whig
Duke of Newcastle,1754 – 1756,Whig
Duke of Devonshire,1756 – 1757,Whig
Duke of Newcastle,1757 – 1762,Whig
Earl of Bute,1762 – 1763,Tory
George Grenville,1763 – 1765,Whig
Marquess of Rockingham,1765 – 1766,Whig
William Pitt,1766 – 1768,Whig
Duke of Grafton,1768 – 1770,Whig
Lord North,1770 – 1782,Tory
Marquess of Rockingham,1782,Whig
Earl of Shelburne,1782 – 1783,Whig
Duke of Portland,1783,Whig
William Pitt the Younger,1783 – 1801,Tory
Henry Addington,1801 – 1804,Tory
William Pitt the Younger,1804 – 1806,Tory
William Grenville,1806 – 1807,Whig
Duke of Portland,1807 – 1809,Whig
Spencer Perceval,1809 – 1812,Tory
Earl of Liverpool,1812 – 1827,Tory
George Canning,1827 – 1827,Tory
Viscount Goderich,1827 – 1828,Tory
Duke of Wellington,1828 – 1830,Tory
Earl Grey,1830 – 1834,Whig
Duke of Wellington,1834,Tory
Viscount Melbourne,1834,Whig
Viscount Melbourne,1835 – 1841,Whig
Lord John Russell,1846 – 1852,Whig
Viscount Palmerston,1855 – 1858,Whig
Viscount Palmerston,1859 – 1865,Whig
Lord John Russell,1865 – 1866,Whig
